Compound,LD,LQ
3-hydroxycarbofuran,0.024773570704398,0.0508557509699997
3PBA,0.0353510940306784,0.0663397326635048
4F3PBA,0.00872004287584256,0.0196444444993228
Acetamiprid-N-desmethyl,0.024962867357169,0.0507123126553254
Acetamiprid,0.00431398514366613,0.00980734555120579
Carbofuran,0.0046821345853312,0.00893131740466194
CMHC,0.0151766510962988,0.0293279791695213
DEAMPY,0.0136742634470317,0.0260554967486507
IMPY,0.0239045699299415,0.0444455833155636
MDA,0.0889729780541396,0.182268103019602
PNP,0.0485962655991639,0.0900249087712208
TCPY,0.0249561907622147,0.0564798202003273
TEB-OH,0.0142011807008029,0.0317478521886153
TEB,0.00180010837706075,0.00394753625483497
THPI,0.0276372982795172,0.0522455842869584
3-hydroxycarbofuran,0.00884899868840243,0.0170344803765087
3PBA,0.0466319151745362,0.0858287840295213
4F3PBA,0.0387807667736134,0.0727862176361467
Acetamiprid-N-desmethyl,0.00998984524163177,0.0187074088240004
Acetamiprid,0.00328009210544655,0.00648250204560171
Carbofuran,0.00509511902685213,0.0128470591034391
CMHC,0.0119747987823118,0.0229658712256757
DEAMPY,0.026335693080482,0.0489089316642799
IMPY,0.0121949966645852,0.0272186028141095
MDA,0.10313291530661,0.191268175467852
PNP,0.0515321012013288,0.0962053884494255
TCPY,0.11954149304545,0.239826428445537
TEB-OH,0.0276137273022355,0.0620087312787625
TEB,0.00336369944037355,0.00864191642257277
THPI,0.0273104552159679,0.0505955613053104
3-hydroxycarbofuran,0.0289688972673303,0.0547043450714949
3PBA,0.0820730366586664,0.169141114715838
4F3PBA,0.0386277840981871,0.086481248335632
Acetamiprid-N-desmethyl,0.0892942014470656,0.188932980730458
Acetamiprid,0.0112812116794593,0.0216102133931297
Carbofuran,0.00705105442428596,0.0174733470236324
CMHC,0.0265817060890769,0.051579277879892
DEAMPY,0.0380323784669539,0.071114767022312
IMPY,0.0236165939012252,0.0445223890998193
MDA,0.0614171111725826,0.112916336952529
PNP,0.0512163587775732,0.0940156158660067
TCPY,NA,NA
TEB-OH,0.0269608003086543,0.0506921985801532
TEB,0.0118740349571969,0.0227432435595365
THPI,0.0272435272583292,0.0512153516438212
3-hydroxycarbofuran,0.00829465542694771,0.0159951661207812
3PBA,0.0216824998073015,0.0425515652143908
4F3PBA,0.0565242666859232,0.125909153435612
Acetamiprid-N-desmethyl,0.0434811573724268,0.0801674566086076
Acetamiprid,0.00737246838852825,0.0146535938600728
Carbofuran,0.0159967427308192,0.0358118501916728
CMHC,0.037936856104417,0.0931426874600149
DEAMPY,0.0764014419909439,0.140727126131524
IMPY,0.014441978828438,0.0309095506899948
MDA,NA,NA
PNP,0.0346905263073991,0.0661735760442766
TCPY,0.0428964136750465,0.0837320385313413
TEB-OH,0.0384225057496134,0.0740509187222672
TEB,0.00755063672265455,0.0188356748360082
THPI,0.028325446674244,0.0530678104158195
3-hydroxycarbofuran,0.0222256549566717,0.0543584543265513
3PBA,0.0305488079663472,0.0571609317165722
4F3PBA,0.0964546730301693,NA
Acetamiprid-N-desmethyl,0.025813327818484,0.049988402199204
Acetamiprid,0.00874734660231434,0.0169683875964274
Carbofuran,0.043195425127722,0.0914533321825752
CMHC,0.0596461897120042,0.117385722732922
DEAMPY,0.0470731879473657,0.0888856064426518
IMPY,0.0675161417533035,0.173054187025758
MDA,0.0853633887730549,0.193632756185878
PNP,0.106415813650729,0.197619187368688
